Product Name,Product URL,Description,Price
+1,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-20477181,"plate, white, 25 cm",7.9
+1,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-20478166,"side plate, white, 19 cm",7.9
+1,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-40479382,"deep plate, white, 20 cm",7.9
+2,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-20479378,"deep plate, white, 23 cm",22.9
ENTUSIASM,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/entusiasm-art-00505359,"plate, black, 24 cm",17.9
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-20477181,"plate, white, 20 cm",24.9
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-20478166,"side plate, white, 18x18 cm",24.9
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-20479378,"deep plate, white, 20x20 cm",29.9
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-40479382,"plate, white, 27 cm",29.9
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-50485448,"deep plate, grey, 21 cm",129.9
GLADELIG,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/gladelig-art-40457163,"plate, white, 15 cm",149.9
GLADELIG,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/gladelig-art-90470567,"plate, white, 25x25 cm",14.9
GODMIDDAG,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/godmiddag-art-90585016,"side plate, patterned/blue, 18 cm",39.9
IKEA 365+,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/ikea-365+-art-10279676,"serving plate, white, 24x13 cm",129.9
IKEA 365+,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/ikea-365+-art-50258945,"plate, grey, 20x13 cm",39.9
IKEA 365+,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/ikea-365+-art-90258948,"serving plate, white, 32x18 cm",62.9
MOSSMAL,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/mossmal-art-10582762,"deep plate, matt light grey, 19 cm",69.9
NEW,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/mossmal-art-10582762,"deep plate/bowl, angled sides white, 22 cm",39.9
